"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"9 Jul 2024 3:19:42 am UTC","22572820122","Shipping Services
","408-6257285-1941908","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","90.86","0","90.86"
"9 Jul 2024 3:32:34 am UTC","22572820122","Refund
","171-7283978-8730713","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GANDERBAL DISTRICT","JAMMU & KASHMIR","191131","-299.00","0","0","0","0","0","0","0","17.64","0","10.62","0","-270.74"
"9 Jul 2024 3:33:58 am UTC","22572820122","Refund
","408-6257285-1941908","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400067","-299.00","0","0","0","0","0","0","0","17.64","0","10.62","0","-270.74"
"9 Jul 2024 11:00:51 am UTC","22615918302","Shipping Services
","171-7148056-3981958","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-95.58","0","-95.58"
"9 Jul 2024 11:00:51 am UTC","22615918302","Shipping Services
","402-9246828-4710701","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"9 Jul 2024 11:00:52 am UTC","22615992802","Shipping Services
","406-2240203-5193938","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"9 Jul 2024 11:00:58 am UTC","22615992802","Refund
","404-0694110-6405150","white_111","Perfect Mini Water Bottle/flask |Portable Travel Companion Water Bottle |Glass inner liner with Plastic Shell Bottles For School, Gym, Home, Office,Bo","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","IMPHAL","MANIPUR","795001","-211.00","0","0","0","0","0","0","0","-40.65","0","4.72","0","-246.93"
"9 Jul 2024 11:01:02 am UTC","22615992802","Shipping Services
","408-6180425-1390751","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-120.36","0","-120.36"
"9 Jul 2024 11:01:10 am UTC","22615918302","Shipping Services
","403-1787333-9749938","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
"9 Jul 2024 11:01:17 am UTC","22615918302","Shipping Services
","171-6182962-1887542","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
